"id","mssubclass","lotshape","landcontour","landslope","bldgtype","housestyle","overallqual","overallcond","lotfrontage","lotarea","garagearea","grlivarea","totalbsmtsf","saleprice","moderately_irregular","slightly_irregular","regular","irregular","depression","hillside","banked","near_flat_level","gentle_slope","moderate_slope","severe_slope","ordinal_encoded_overallqual","ordinal_encoded_overallcond","mean_encoded_mssubclass","mean_encoded_bldgtype","mean_encoded_housestyle","norm_lotfrontage","norm_lotarea","norm_garagearea","norm_grlivarea","norm_totalbsmtsf","norm_saleprice","std_lotfrontage","std_lotarea","std_garagearea","std_grlivarea","std_totalbsmtsf","std_saleprice"
11,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average","70","11200","384","1040","1040","129500",0,0,1,0,0,0,0,1,1,0,0,4,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.00017109030146111130","0.00319321282482983477","-0.06275044921459899147","-0.08957492438397456411","-0.00285261081093200008","-0.07140840979087759894","-0.00205719080394873170","0.06844542474691903281","-0.41617456546559741091","-0.90481721797636835858","-0.03972929226758155972","-0.64727562733280707076"
12,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Excellent","Average","85","11924","736","2324","1175","345000",0,1,0,0,0,0,0,1,1,0,0,9,4,"239948.501672240803","185763.807377049180","210051.764044943820","0.05119877271223751884","0.00657726012670648531","0.18548650424097223561","0.15232409596267200710","0.01924231553931349910","0.22785558132146790862","0.61561434808165750278","0.14098132123949176546","1.2301866563253196","1.5386612457399737","0.26799434925952676118","2.0653780804397045"
13,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","NA","12968","352","912","912","144000",1,0,0,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"0.01145701894322474935","-0.08531744498328728484","-0.11368946846837546841","-0.02380187431338699190","-0.05127231758146223997",NULL,"0.24557728248016294347","-0.56584376744658986751","-1.1484038561038542","-0.33149689312291389361","-0.46475368411841533929"
14,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average","91","10652","840","1494","1494","279500",0,1,0,0,0,0,0,1,1,0,0,7,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.07174671791771697089","0.00063180685600607165","0.25882924048920918907","-0.00404365083461510669","0.07145180817433804902","0.13689599237548818359","0.86268296363589999657","0.01354256386580044511","1.7166115627635451","-0.04084586086794211743","0.99513391701617531205","1.2408824059195212"
15,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average","NA","10920","352","1253","1253","157000",0,1,0,0,0,0,0,1,1,0,0,5,4,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"0.00188446524951842296","-0.08531744498328728484","-0.04944681586852618431","0.03200827298612200974","-0.03321926939371053881",NULL,"0.04039286809233289311","-0.56584376744658986751","-0.49947382796734899875","0.44579023103074490215","-0.30111332123654689040"
16,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Good","Very Good","51","6120","576","854","832","132000",0,0,1,0,0,0,0,1,1,0,0,7,8,"108591.666666666667","185763.807377049180","110150.000000000000","-0.06523958345214604281","-0.02055120747010577952","0.07265152539753076876","-0.12461637125661962817","-0.03689516400242136178","-0.06793666975477150257","-0.78444114005904996203","-0.44050810312914378743","0.48184064642035732870","-1.2587790515053712","-0.51385164365749660229","-0.61580632677860159981"
17,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Good","NA","11241","480","1004","1004","149000",0,1,0,0,0,0,0,1,1,0,0,5,7,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"0.00338485086264329150","0.00495053809146588865","-0.09635713990771231844","-0.00874459117099746653","-0.04432883750925004722",NULL,"0.07255312054276914612","0.03283304047737995890","-0.97332595994972374335","-0.12178893000814377862","-0.40181508301000439741"
18,"DUPLEX - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Duplex","One story","Below Average","Average","72","10791","516","1296","0","90000",0,0,1,0,0,0,0,1,1,0,0,3,4,"133541.076923076923","133541.076923076923","175985.477961432507","0.00667822476703203938","0.00128150654517852252","0.03033840833124021869","-0.04134583621517275552","-0.17306537676837880859","-0.12626190236135392168","0.08029901438079876623","0.02746865449075570732","0.20121089270599647257","-0.41764394172139673362","-2.4103410492171568","-1.1444905760892535"
19,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average","66","13695","576","1114","1114","159000",0,0,1,0,0,0,0,1,1,0,0,4,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.01386972043844741267","0.01485508854055116502","0.07265152539753076876","-0.07563370358518029131","0.00925868215142479206","-0.03044187736482566171","-0.16676960117344372756","0.31841374207974909905","0.48184064642035732870","-0.76399369280891562324","0.12894885197690744581","-0.27593788079318251364"
20,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","70","7560","294","1339","1029","139000",0,0,1,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","-0.00017109030146111130","-0.01382050565421851878","-0.12622012481403481657","-0.03324485656181932673","-0.00465293814317422594","-0.05821579765367443272","-0.00205719080394873170","-0.29623781176270078327","-0.83711919603713869510","-0.33581405547544446848","-0.06480307046608668216","-0.52769228522682628118"
21,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Average","101","14215","853","2376","1158","325300",0,1,0,0,0,0,0,1,1,0,0,8,4,"239948.501672240803","185763.807377049180","210051.764044943820","0.10599329326018272432","0.01728561975184378695","0.26799708252023880825","0.16212062949695987447","0.01645999148039369550","0.20049826983695186918","1.2744639895596375","0.37051134729540907277","1.7774146760683233","1.6376183174792648","0.22924396477092793559","1.8173999920725654"
22,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Good","Good","57","7449","280","1108","637","139400",0,0,1,0,0,0,1,0,1,0,0,7,7,"108591.666666666667","185763.807377049180","110150.000000000000","-0.04469163824666659075","-0.01433933058585982846","-0.13609318546283594492","-0.07676407283913658370","-0.06881005761944263838","-0.05766031924789745730","-0.53737252450480746824","-0.30735864672219743151","-0.90259947190382289486","-0.77541181647114152070","-0.95834134808554195470","-0.52265719713815340583"
23,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","75","9742","534","1795","1777","230000",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.01695219736977176541","-0.00362162276375601673","0.04303234345112738371","0.05266320673885889482","0.11776932044929713249","0.06815553966058747535","0.20383332215792001313","-0.07762824526160450891","0.28539981882030472941","0.53196334285372373849","1.6402138470322616","0.61779025494625286110"
24,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Average","Good","44","4224","572","1060","1040","129900",0,0,1,0,0,0,0,1,1,0,0,4,7,"200779.080459770115","181959.342105263158","175985.477961432507","-0.08921218619187207021","-0.02941329819435733950","0.06983065092644473209","-0.08580702687078692281","-0.00285261081093200008","-0.07085293138510062352","-1.0726878582056662","-0.63046398676162707625","0.46313199617273327163","-0.86675680576894870038","-0.03972929226758155972","-0.64224053924413419541"
25,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Very Good","NA","8246","270","1060","1060","154000",0,1,0,0,0,0,0,1,1,0,0,4,8,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"-0.01061407409470555984","-0.14314537164055103660","-0.08580702687078692281","0.00042071161132659239","-0.03738535743703785446",NULL,"-0.22750904795896474101","-0.94937109752288303755","-0.86675680576894870038","0.00585939536606411745","-0.33887648190159345553"
26,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","110","14230","890","1600","1566","256300",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.13681521106840190240","0.01735573122909261259","0.29409017137778464746","0.01592620598527939218","0.08323576889446898191","0.10467824484042360922","1.6450669128910012","0.37201416283047618740","1.9504696908588458","0.16087432383138207103","1.1592531924972997","0.94884729677649441541"
27,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good","60","7200","576","900","900","134800",0,0,1,0,0,0,0,1,1,0,0,4,7,"185224.811567164179","185763.807377049180","175985.477961432507","-0.03441766564392686473","-0.01550318110819033396","0.07265152539753076876","-0.11595020697628805318","-0.02576586776674214738","-0.06404832091433267463","-0.41383821672768622135","-0.33230538460431153431","0.48184064642035732870","-1.1712401034283060","-0.35885010570310129991","-0.58056071015789147236"
28,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","98","11478","772","1704","1704","306000",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.09571932065744299829","0.00449261220317473650","0.21087437448074656566","0.03551927305385512692","0.10582169360805326997","0.17369643675821280517","1.1509296817825162","0.09629760599682955722","1.3985645085539361","0.35878846730996429368","1.4738151371694549","1.5744569917940992"
29,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","47","16321","319","1600","1484","207500",0,1,0,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","-0.07893821358913234418","0.02712927115757890579","-0.10858965936974708738","0.01592620598527939218","0.06981514696320875278","0.03690987933563260797","-0.94915355042854495789","0.58150664841883196636","-0.72019013198948833838","0.16087432383138207103","0.97233957319935247347","0.33456654995840362263"
30,"1-STORY 1945 & OLDER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Below Average","Above Average","60","6324","240","520","520","68500",0,1,0,0,0,0,0,1,1,0,0,3,5,"95829.724637681159","185763.807377049180","175985.477961432507","-0.03441766564392686473","-0.01959769137952175092","-0.16430193017369631164","-0.18754025972685323781","-0.08795899378965540434","-0.15611886667186635051","-0.41383821672768622135","-0.42006981185223102851","-1.0896859743800635","-1.8943879353692795","-1.2250351707423692","-1.4151265608554206"
31,"2-STORY 1945 & OLDER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Below Average","Below Average","50","8500","250","1317","649","40000",0,0,1,0,0,0,0,1,1,0,0,3,3,"166772.416666666667","185763.807377049180","210051.764044943820","-0.06866424098639261815","-0.00942685307995877913","-0.15724974399598121996","-0.03738954382632573216","-0.06684606416608748290","-0.19569670308347584919","-0.82561924265142371100","-0.20206137156516160000","-1.0429143487610033","-0.37768050890360609251","-0.93098813550535454840","-1.7738765871733629"
32,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","NA","8544","271","1228","1228","149350",0,1,0,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"-0.00922119274669555727","-0.14244015302277952743","-0.05415668776001073593","0.02791661995829876915","-0.04384279390419519372",NULL,"-0.19765311266229806376","-0.94469393496097702328","-0.54704934322662357150","0.38880437148868780568","-0.39740938093241563148"
33,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","85","11049","484","1234","1234","179900",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.05119877271223751884","0.00248742395385832340","0.00777141256255192532","-0.05302631850605444354","0.02889861668497634689","-0.00141813066297869601","0.61561434808165750278","0.05331708169391007890","0.05154169072500401597","-0.53563121956439767404","0.40248097777878150884","-0.01285452816002477657"
34,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average","70","10552","447","1700","1398","165500",0,1,0,0,0,0,0,1,1,0,0,4,4,"185224.811567164179","185763.807377049180","175985.477961432507","-0.00017109030146111130","0.00016439700768056744","-0.01832167629499391389","0.03476569355121759866","0.05573986054749680516","-0.02141535327094981114","-0.00205719080394873170","0.00352379363201968093","-0.12151332406551851197","0.35117638486848036204","0.77630821637467606163","-0.19411769935224828920"
35,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Excellent","Average","60","7313","556","1561","1561","277500",0,0,1,0,0,0,0,1,1,0,0,9,4,"200779.080459770115","181959.342105263158","175985.477961432507","-0.03441766564392686473","-0.01497500797958251420","0.05854715304210058540","0.00857880583456349165","0.08241743828890433380","0.13411860034660330649","-0.41383821672768622135","-0.32098417424013927079","0.38829739518223704332","0.08665652002691373754","1.1478560205888883","1.2157069654761568"
36,"2-STORY 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Average","108","13418","691","2452","1117","309000",0,0,1,0,0,0,0,1,1,0,0,8,4,"239948.501672240803","185763.807377049180","210051.764044943820","0.12996589599990875171","0.01356036326068951833","0.15375166644125432306","0.17643864004707291140","0.00974968051476358093","0.17786252480154012082","1.5627107077062537","0.29066174853217638228","1.0197143410395490","1.7822478838674595","0.13578715512195429739","1.6122201524591457"
37,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average","112","10859","672","1097","1097","145000",0,0,1,0,0,0,0,1,1,0,0,4,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.14366452613689505308","0.00159934524203986539","0.14035251270359564887","-0.07883641647138978642","0.00647635809250498846","-0.04988362156701980142","1.7274231180757487","0.03428141824972662696","0.93084825236333469850","-0.79634504318522233271","0.09019846748830862022","-0.45216596389673315092"
38,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","74","8532","498","1297","1297","153000",0,0,1,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","0.01352753983552519007","-0.00927728192849461778","0.01764447321135305367","-0.04115744133951337346","0.03920958231509091318","-0.03877405345148029301","0.16265521956554626416","-0.19885536509035175546","0.11702196659168821573","-0.41574092111102575071","0.54608534382476539192","-0.35146420212327564390"
39,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good","68","7922","246","1057","1057","109000",0,0,1,0,0,0,0,1,1,0,0,4,7,"185224.811567164179","185763.807377049180","175985.477961432507","-0.00702040536995426199","-0.01212848200328019351","-0.16007061846706725663","-0.08637221149776506901","-0.000070286752012196481178","-0.09987667808694758922","-0.08441339598869622963","-0.25996986351641441695","-1.0616229990086274","-0.87246586760006164911","-0.00097890777898273412","-0.90532389187729193248"
40,"DUPLEX - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Duplex","One story","Below Average","Average","65","6040","0","1152","0","82000",0,0,1,0,0,0,0,1,1,0,0,3,4,"133541.076923076923","133541.076923076923","175985.477961432507","-0.01729437797269398801","-0.02092513534876618290","-0.33355439843885851192","-0.06847469831012377285","-0.17306537676837880859","-0.13737147047689343008","-0.20794770376581747652","-0.44852311931616839878","-2.2122049892375069","-0.69167890961481827266","-2.4103410492171568","-1.2451923378627110"
41,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average","84","8658","440","1324","1088","160000",0,0,1,0,0,0,0,1,1,0,0,5,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.04777411517799094349","-0.00868834551960448246","-0.02325820661939447807","-0.03607077969671005771","0.00500336300248862185","-0.02905318135038322316","0.57443624548928375381","-0.18623171459578799260","-0.15425346199886061186","-0.36435936463100921214","0.06968355805316806549","-0.26335016057150032527"
42,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","115","16905","308","1328","1350","170000",0,0,1,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","0.15393849873963477911","0.02985894467179985043","-0.11634706416523368822","-0.03531720019407252945","0.04788388673407618322","-0.01516622120595883766","1.8509574258528700","0.64001626658411162916","-0.77163892017045449534","-0.35674728218952528050","0.66689536605392643642","-0.13747295835467844150"
43,"SPLIT FOYER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Split Foyer","Average","Good","NA","9180","504","884","840","144000",0,1,0,0,0,0,0,1,1,0,0,4,7,"147810.000000000000","185763.807377049180","135074.486486486486",NULL,"-0.00624846611134535044","0.02187578491798210867","-0.11896452498683816622","-0.03558583503351792480","-0.05127231758146223997",NULL,"-0.13393373397545240359","0.14508494196312430135","-1.2016884331942417","-0.49561616860403833142","-0.46475368411841533929"
44,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","NA","9200","308","938","938","130250",0,1,0,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507",NULL,"-0.00615498414168024960","-0.11634706416523368822","-0.10879120170123153472","-0.01954655516445082169","-0.07036688778004577003",NULL,"-0.13192997992869625075","-0.77163892017045449534","-1.0989253202342086","-0.27223159919917451329","-0.63783483716654542947"
45,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average","70","7945","300","1150","1150","141000",0,0,1,0,0,0,0,1,1,0,0,4,5,"185224.811567164179","185763.807377049180","175985.477961432507","-0.00017109030146111130","-0.01202097773816532754","-0.12198881310740576157","-0.06885148806144253698","0.01515066251149025851","-0.05543840562478955562","-0.00205719080394873170","-0.25766554636264484119","-0.80905622066570260949","-0.69548495083556023848","0.21100848971746966472","-0.50251684478346190442"
46,"1-STORY PUD (Planned Unit Development) - 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Townhouse End Unit","One story","Excellent","Average","61","7658","576","1752","1752","319900",0,0,1,0,0,0,0,1,1,0,0,9,4,"200779.080459770115","181959.342105263158","175985.477961432507","-0.03099300810968028938","-0.01336244400285952464","0.07265152539753076876","0.04456222708550546603","0.11367766742147389190","0.19299931135896270101","-0.37266011413531247238","-0.28641941693359563438","0.48184064642035732870","0.45013345660777147336","1.5832279874902045","1.7494263028754816"
47,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Average","48","12822","670","2149","1434","239686",0,1,0,0,0,0,0,1,1,0,0,7,4,"143302.972222222222","185763.807377049180","143116.740259740260","-0.07551355605488576884","0.01077460056466951319","0.13894207546805263054","0.11935499272228014576","0.06163184090756227160","0.08160644925647693515","-0.90797544783617120893","0.23094987793884302777","0.92149392723952266997","1.2056326389250517","0.85836785411523828054","0.73971491301346653772"
48,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average","84","11096","826","1656","1656","249700",0,0,1,0,0,0,0,1,1,0,0,8,4,"185224.811567164179","185763.807377049180","175985.477961432507","0.04777411517799094349","0.00270710658257131038","0.24895617984040806072","0.02647631902220478781","0.09796571979463264804","0.09551285114510351479","0.57443624548928375381","0.05802590370378703806","1.6511312868968609","0.26744347801215711400","1.3644022868487053","0.86576834331339197212"
49,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Two-family Conversion; originally built as one-family dwelling","Two story","Below Average","Average","33","4456","0","1452","736","113000",0,0,1,0,0,0,0,1,1,0,0,3,4,"129613.333333333333","128432.258064516129","210051.764044943820","-0.12688341906858439897","-0.02832890734624216972","-0.33355439843885851192","-0.01195623561230915341","-0.05260711162926260565","-0.09432189402917783502","-1.5256469867217774","-0.60722043981925570336","-2.2122049892375069","-0.12077272650352339965","-0.73267734429899585271","-0.85497301099056317897"
50,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Good","66","7742","386","955","955","127000",0,0,1,0,0,0,0,1,1,0,0,4,7,"185224.811567164179","185763.807377049180","175985.477961432507","-0.01386972043844741267","-0.01296981973026610110","-0.06134001197905597313","-0.10558848881502203962","-0.01676423110553101809","-0.07488014982698369532","-0.16676960117344372756","-0.27800364993721979247","-0.40682024034178538237","-1.0665739698579019","-0.23348121471057568769","-0.67874492788701254170"
51,"2-STORY 1946 & NEWER","Moderately Irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Above Average","Above Average","NA","13869","388","1470","794","177000",1,0,0,0,0,0,0,1,1,0,0,5,5,"239948.501672240803","185763.807377049180","210051.764044943820",NULL,"0.01566838167663754236","-0.05992957474351295480","-0.00856512785044027624","-0.04311447660471268748","-0.00544534910486176781",NULL,"0.33584640228652762872","-0.39746591521797335383","-0.08651835551684570727","-0.60047015016142338892","-0.04935891680290312286"
